Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
no checking account,6,critical account/ other credits existing,radio/television,1237,less than 291,less than 4 years,1,female : divorced/separated/married,none,1,building society saving agreement/life insurance,27,,own,2,skilled employee,1,none,Y,1
less than 116,6,existing credits paid back till now,radio/television,368,unkown/no savings account,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,38,,own,1,skilled employee,1,none,Y,1
less than 0,12,critical account/ other credits existing,new car,2122,less than 116,less than 4 years,3,male : single,none,2,real estate,39,,rent,2,unskilled,2,none,N,1
less than 0,24,existing credits paid back till now,furniture/equipment,2996,unkown/no savings account,less than 4 years,2,male : married/widowed,none,4,car or other,20,,own,1,skilled employee,1,none,Y,0
less than 116,36,existing credits paid back till now,furniture/equipment,9034,less than 291,less than 1 year,4,male : single,co-applicant,1,unkown/no property,29,,rent,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,24,critical account/ other credits existing,furniture/equipment,1585,less than 116,less than 7 years,4,male : single,none,3,building society saving agreement/life insurance,40,,own,2,skilled employee,1,none,Y,1
less than 116,18,existing credits paid back till now,radio/television,1301,less than 116,greater than 7 years,4,male : married/widowed,guarantor,2,real estate,32,,own,1,unskilled,1,none,Y,1
greater than or equal to 116,6,critical account/ other credits existing,new car,1323,less than 291,greater than 7 years,2,male : divocred/separated,none,4,car or other,28,,own,2,skilled employee,2,yes,Y,1
less than 0,24,existing credits paid back till now,new car,3123,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,building society saving agreement/life insurance,27,,own,1,skilled employee,1,none,Y,0
less than 0,36,existing credits paid back till now,used car,5493,less than 116,greater than 7 years,2,male : single,none,4,unkown/no property,42,,for free,1,skilled employee,2,none,Y,1
greater than or equal to 116,9,existing credits paid back till now,radio/television,1126,less than 291,greater than 7 years,2,male : divocred/separated,none,4,real estate,49,,own,1,skilled employee,1,none,Y,1
less than 116,24,critical account/ other credits existing,radio/television,1216,less than 291,less than 1 year,4,male : single,none,4,unkown/no property,38,none,own,2,skilled employee,2,none,Y,0
less than 0,24,existing credits paid back till now,new car,1207,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,24,,rent,1,skilled employee,1,none,Y,0
no checking account,10,existing credits paid back till now,new car,1309,unkown/no savings account,less than 4 years,4,male : single,guarantor,4,building society saving agreement/life insurance,27,,own,1,unskilled,1,none,Y,0
greater than or equal to 116,15,critical account/ other credits existing,used car,2360,less than 582,less than 4 years,2,male : single,none,2,car or other,36,,own,1,skilled employee,1,yes,Y,1
less than 116,15,all credits at this bank paid back,new car,6850,less than 291,unemployed,1,male : single,none,2,building society saving agreement/life insurance,34,,own,1,self_employed/highly qualified employee,2,yes,Y,0
no checking account,24,existing credits paid back till now,radio/television,1413,less than 116,less than 4 years,4,male : married/widowed,none,2,building society saving agreement/life insurance,28,,own,1,skilled employee,1,none,Y,1
no checking account,39,existing credits paid back till now,used car,8588,less than 291,greater than 7 years,4,male : single,none,2,car or other,45,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,new car,759,less than 116,less than 7 years,4,male : single,none,2,real estate,26,,own,1,skilled employee,1,none,Y,0
no checking account,36,existing credits paid back till now,used car,4686,less than 116,less than 4 years,2,male : single,none,2,unkown/no property,32,,for free,1,self_employed/highly qualified employee,1,yes,Y,1
greater than or equal to 116,15,existing credits paid back till now,business,2687,less than 116,less than 7 years,2,male : single,none,4,building society saving agreement/life insurance,26,,rent,1,skilled employee,1,yes,Y,1
less than 116,12,delay in paying off in the past,radio/television,585,less than 116,less than 4 years,4,male : married/widowed,co-applicant,4,real estate,20,,rent,2,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,new car,2255,unkown/no savings account,less than 1 year,4,male : single,none,1,building society saving agreement/life insurance,54,,own,1,skilled employee,1,none,Y,1
less than 0,6,critical account/ other credits existing,new car,609,less than 116,less than 7 years,4,female : divorced/separated/married,none,3,building society saving agreement/life insurance,37,,own,2,skilled employee,1,none,N,1
less than 0,6,critical account/ other credits existing,new car,1361,less than 116,less than 1 year,2,male : single,none,4,real estate,40,,own,1,unskilled,2,none,N,1
no checking account,36,critical account/ other credits existing,furniture/equipment,7127,less than 116,less than 1 year,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,23,,rent,2,skilled employee,1,yes,Y,0
less than 0,6,existing credits paid back till now,new car,1203,less than 291,greater than 7 years,3,male : single,none,2,building society saving agreement/life insurance,43,,own,1,skilled employee,1,yes,Y,1
no checking account,6,critical account/ other credits existing,radio/television,700,unkown/no savings account,greater than 7 years,4,male : single,none,4,unkown/no property,36,,for free,2,skilled employee,1,none,Y,1
no checking account,24,critical account/ other credits existing,repairs,5507,less than 116,greater than 7 years,3,male : single,none,4,unkown/no property,44,,for free,2,skilled employee,1,none,Y,1
less than 0,18,existing credits paid back till now,radio/television,3190,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,real estate,24,,own,1,skilled employee,1,none,Y,0
less than 0,48,no credits taken/all credit paid back,furniture/equipment,7119,less than 116,less than 4 years,3,male : single,none,4,unkown/no property,53,,for free,2,skilled employee,2,none,Y,0
no checking account,24,existing credits paid back till now,used car,3488,less than 291,less than 7 years,3,female : divorced/separated/married,none,4,car or other,23,,own,1,skilled employee,1,none,Y,1
less than 116,18,existing credits paid back till now,radio/television,1113,less than 116,less than 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,,own,1,unskilled,2,none,Y,1
less than 116,26,existing credits paid back till now,used car,7966,less than 116,less than 1 year,2,male : single,none,3,car or other,30,,own,2,skilled employee,1,none,Y,1
no checking account,15,critical account/ other credits existing,education,1532,less than 291,less than 4 years,4,female : divorced/separated/married,none,3,car or other,31,,own,1,skilled employee,1,none,Y,1
no checking account,4,critical account/ other credits existing,radio/television,1503,less than 116,less than 7 years,2,male : single,none,1,real estate,42,,own,2,unskilled,2,none,Y,1
less than 0,36,existing credits paid back till now,radio/television,2302,less than 116,less than 4 years,4,male : divocred/separated,none,4,car or other,31,,rent,1,skilled employee,1,none,Y,0
less than 0,6,existing credits paid back till now,new car,662,less than 116,less than 1 year,3,male : single,none,4,real estate,41,,own,1,unskilled,2,yes,Y,1
less than 116,36,existing credits paid back till now,education,2273,less than 116,less than 7 years,3,male : single,none,1,car or other,32,,own,2,skilled employee,2,none,Y,1
less than 116,15,existing credits paid back till now,new car,2631,less than 291,less than 4 years,2,female : divorced/separated/married,none,4,car or other,28,,rent,2,skilled employee,1,yes,Y,0
no checking account,12,delay in paying off in the past,used car,1503,less than 116,less than 4 years,4,male : married/widowed,none,4,real estate,41,,rent,1,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,radio/television,1311,less than 291,less than 7 years,4,male : married/widowed,none,3,building society saving agreement/life insurance,26,,own,1,skilled employee,1,yes,Y,1
no checking account,24,existing credits paid back till now,radio/television,3105,unkown/no savings account,less than 1 year,4,male : single,none,2,car or other,25,,own,2,skilled employee,1,none,Y,1
greater than or equal to 116,21,critical account/ other credits existing,education,2319,less than 116,less than 1 year,2,male : divocred/separated,none,1,car or other,33,,rent,1,skilled employee,1,none,Y,0
less than 0,6,existing credits paid back till now,new car,1374,unkown/no savings account,unemployed,4,female : divorced/separated/married,none,3,building society saving agreement/life insurance,75,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,18,critical account/ other credits existing,furniture/equipment,3612,less than 116,greater than 7 years,3,female : divorced/separated/married,none,4,building society saving agreement/life insurance,37,,own,1,skilled employee,1,yes,Y,1
less than 0,48,existing credits paid back till now,new car,7763,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,42,none,for free,1,self_employed/highly qualified employee,1,none,Y,0
greater than or equal to 116,18,existing credits paid back till now,furniture/equipment,3049,less than 116,less than 1 year,1,female : divorced/separated/married,none,1,building society saving agreement/life insurance,45,stores,own,1,unskilled,1,none,Y,1
less than 116,12,existing credits paid back till now,radio/television,1534,less than 116,less than 1 year,1,male : married/widowed,none,1,real estate,23,,rent,1,skilled employee,1,none,Y,0
no checking account,24,delay in paying off in the past,new car,2032,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,60,,for free,2,skilled employee,1,yes,Y,1
less than 0,30,existing credits paid back till now,furniture/equipment,6350,unkown/no savings account,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,31,,own,1,skilled employee,1,none,Y,0
greater than or equal to 116,18,existing credits paid back till now,furniture/equipment,2864,less than 116,less than 4 years,2,male : single,none,1,real estate,34,,own,1,unskilled,2,none,Y,0
no checking account,12,critical account/ other credits existing,new car,1255,less than 116,greater than 7 years,4,male : single,none,4,real estate,61,,own,2,unskilled,1,none,Y,1
less than 0,24,delay in paying off in the past,new car,1333,less than 116,unemployed,4,male : single,none,2,real estate,43,,for free,2,skilled employee,2,none,Y,0
no checking account,24,critical account/ other credits existing,new car,2022,less than 116,less than 4 years,4,female : divorced/separated/married,none,4,car or other,37,,own,1,skilled employee,1,yes,Y,1
no checking account,24,existing credits paid back till now,radio/television,1552,less than 116,less than 7 years,3,male : single,none,1,car or other,32,none,own,1,skilled employee,2,none,Y,1
less than 0,12,all credits at this bank paid back,radio/television,626,less than 116,less than 4 years,4,female : divorced/separated/married,none,4,real estate,24,none,own,1,unskilled,1,none,Y,0
no checking account,48,critical account/ other credits existing,used car,8858,unkown/no savings account,less than 7 years,2,male : single,none,1,unkown/no property,35,,for free,2,skilled employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,repairs,996,unkown/no savings account,less than 7 years,4,female : divorced/separated/married,none,4,real estate,23,,own,2,skilled employee,1,none,Y,1
no checking account,6,all credits at this bank paid back,radio/television,1750,less than 582,greater than 7 years,2,male : single,none,4,building society saving agreement/life insurance,45,none,own,1,unskilled,2,none,Y,1
less than 0,48,existing credits paid back till now,radio/television,6999,less than 116,less than 7 years,1,male : married/widowed,guarantor,1,real estate,34,,own,2,skilled employee,1,yes,Y,0
less than 116,12,critical account/ other credits existing,new car,1995,less than 291,less than 1 year,4,male : single,none,1,car or other,27,,own,1,skilled employee,1,none,Y,1
less than 116,9,existing credits paid back till now,education,1199,less than 116,less than 7 years,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,67,,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 116,12,existing credits paid back till now,radio/television,1331,less than 116,less than 1 year,2,male : single,none,1,car or other,22,stores,own,1,skilled employee,1,none,Y,0
less than 116,18,no credits taken/all credit paid back,new car,2278,less than 291,less than 1 year,3,female : divorced/separated/married,none,3,car or other,28,,own,2,skilled employee,1,none,Y,0
no checking account,21,no credits taken/all credit paid back,new car,5003,unkown/no savings account,less than 4 years,1,female : divorced/separated/married,none,4,building society saving agreement/life insurance,29,none,own,2,skilled employee,1,yes,Y,0
less than 0,24,all credits at this bank paid back,furniture/equipment,3552,less than 116,less than 7 years,3,male : single,none,4,car or other,27,none,own,1,skilled employee,1,none,Y,0
less than 116,18,critical account/ other credits existing,furniture/equipment,1928,less than 116,less than 1 year,2,male : single,none,2,real estate,31,,own,2,unskilled,1,none,Y,0
less than 0,24,existing credits paid back till now,used car,2964,unkown/no savings account,greater than 7 years,4,male : single,none,4,unkown/no property,49,none,for free,1,skilled employee,2,yes,Y,1
less than 0,24,all credits at this bank paid back,radio/television,1546,less than 116,less than 7 years,4,male : single,guarantor,4,car or other,24,none,rent,1,unskilled,1,none,Y,0
greater than or equal to 116,6,delay in paying off in the past,radio/television,683,less than 116,less than 1 year,2,female : divorced/separated/married,none,1,building society saving agreement/life insurance,29,none,own,1,skilled employee,1,none,Y,1
less than 116,36,existing credits paid back till now,new car,12389,unkown/no savings account,less than 4 years,1,male : single,none,4,unkown/no property,37,,for free,1,skilled employee,1,yes,Y,0
less than 116,24,delay in paying off in the past,business,4712,unkown/no savings account,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,37,none,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 116,24,delay in paying off in the past,radio/television,1553,less than 291,less than 7 years,3,female : divorced/separated/married,none,2,building society saving agreement/life insurance,23,,rent,2,skilled employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,new car,1372,less than 116,less than 7 years,2,male : divocred/separated,none,3,car or other,36,,own,1,skilled employee,1,none,Y,0
no checking account,24,critical account/ other credits existing,radio/television,2578,greater than 582,greater than 7 years,2,male : single,none,2,car or other,34,,own,1,skilled employee,1,none,Y,1
less than 116,48,existing credits paid back till now,radio/television,3979,unkown/no savings account,less than 7 years,4,male : single,none,1,car or other,41,,own,2,skilled employee,2,yes,Y,1
less than 0,48,existing credits paid back till now,radio/television,6758,less than 116,less than 4 years,3,female : divorced/separated/married,none,2,car or other,31,,own,1,skilled employee,1,yes,Y,0
less than 0,24,existing credits paid back till now,furniture/equipment,3234,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,real estate,23,,rent,1,unskilled,1,yes,Y,0
no checking account,30,critical account/ other credits existing,radio/television,5954,less than 116,less than 7 years,3,male : single,co-applicant,2,car or other,38,,own,1,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,used car,5433,unkown/no savings account,unemployed,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,26,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,15,existing credits paid back till now,business,806,less than 116,less than 4 years,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,22,,own,1,unskilled,1,none,Y,1
less than 116,9,existing credits paid back till now,radio/television,1082,less than 116,greater than 7 years,4,male : single,none,4,car or other,27,,own,2,unskilled,1,none,Y,1
no checking account,15,critical account/ other credits existing,furniture/equipment,2788,less than 116,less than 7 years,2,female : divorced/separated/married,co-applicant,3,car or other,24,none,own,2,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,radio/television,2930,less than 116,less than 7 years,2,female : divorced/separated/married,none,1,real estate,27,,own,1,skilled employee,1,none,Y,1
no checking account,24,critical account/ other credits existing,education,1927,unkown/no savings account,less than 4 years,3,female : divorced/separated/married,none,2,car or other,33,,own,2,skilled employee,1,yes,Y,1
less than 116,36,critical account/ other credits existing,new car,2820,less than 116,less than 1 year,4,male : divocred/separated,none,4,car or other,27,,own,2,skilled employee,1,none,Y,0
no checking account,24,existing credits paid back till now,retraining,937,less than 116,less than 1 year,4,male : married/widowed,none,3,car or other,27,,own,2,unskilled,1,none,Y,1
less than 116,18,critical account/ other credits existing,new car,1056,less than 116,greater than 7 years,3,male : single,guarantor,3,real estate,30,none,own,2,skilled employee,1,none,Y,0
less than 116,12,critical account/ other credits existing,new car,3124,less than 116,less than 1 year,1,male : single,none,3,real estate,49,none,own,2,unskilled,2,none,Y,1
no checking account,9,existing credits paid back till now,furniture/equipment,1388,less than 116,less than 4 years,4,female : divorced/separated/married,none,2,real estate,26,,rent,1,skilled employee,1,none,Y,1
less than 116,36,existing credits paid back till now,repairs,2384,less than 116,less than 1 year,4,male : single,none,1,unkown/no property,33,,rent,1,unskilled,1,none,Y,0
no checking account,12,existing credits paid back till now,new car,2133,unkown/no savings account,greater than 7 years,4,female : divorced/separated/married,none,4,unkown/no property,52,,for free,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,18,existing credits paid back till now,furniture/equipment,2039,less than 116,less than 4 years,1,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee,1,none,Y,0
less than 0,9,critical account/ other credits existing,new car,2799,less than 116,less than 4 years,2,male : single,none,2,real estate,36,,rent,2,skilled employee,2,none,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,1289,less than 116,less than 4 years,4,male : single,guarantor,1,building society saving agreement/life insurance,21,,own,1,unskilled,1,none,Y,1
less than 0,18,existing credits paid back till now,domestic appliances,1217,less than 116,less than 4 years,4,male : married/widowed,none,3,real estate,47,,own,1,unskilled,1,yes,Y,0
less than 0,12,critical account/ other credits existing,furniture/equipment,2246,less than 116,greater than 7 years,3,male : single,none,3,building society saving agreement/life insurance,60,,own,2,skilled employee,1,none,Y,0
less than 0,12,critical account/ other credits existing,radio/television,385,less than 116,less than 7 years,4,female : divorced/separated/married,none,3,real estate,58,,own,4,unskilled,1,yes,Y,1
less than 116,24,delay in paying off in the past,new car,1965,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,4,car or other,42,,rent,2,skilled employee,1,yes,Y,1
no checking account,21,existing credits paid back till now,business,1572,greater than 582,greater than 7 years,4,female : divorced/separated/married,none,4,real estate,36,none,own,1,unskilled,1,none,Y,1
less than 116,24,existing credits paid back till now,new car,2718,less than 116,less than 4 years,3,female : divorced/separated/married,none,4,building society saving agreement/life insurance,20,,rent,1,unskilled,1,yes,Y,0
less than 0,24,all credits at this bank paid back,others,1358,unkown/no savings account,greater than 7 years,4,male : single,none,3,car or other,40,stores,own,1,self_employed/highly qualified employee,1,yes,Y,0
less than 116,6,all credits at this bank paid back,new car,931,less than 291,less than 1 year,1,female : divorced/separated/married,none,1,building society saving agreement/life insurance,32,stores,own,1,unskilled,1,none,Y,0
less than 0,24,existing credits paid back till now,new car,1442,less than 116,less than 7 years,4,female : divorced/separated/married,none,4,car or other,23,,rent,2,skilled employee,1,none,Y,0
less than 116,24,no credits taken/all credit paid back,business,4241,less than 116,less than 4 years,1,male : single,none,4,real estate,36,,own,3,unskilled,1,yes,Y,0
no checking account,18,critical account/ other credits existing,new car,2775,less than 116,less than 7 years,2,male : single,none,2,building society saving agreement/life insurance,31,none,own,2,skilled employee,1,none,Y,0
no checking account,24,delay in paying off in the past,business,3863,less than 116,less than 4 years,1,male : single,none,2,unkown/no property,32,,for free,1,skilled employee,1,none,Y,1
less than 116,7,existing credits paid back till now,radio/television,2329,less than 116,less than 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,,own,1,skilled employee,1,none,Y,1
less than 116,9,existing credits paid back till now,furniture/equipment,918,less than 116,less than 4 years,4,female : divorced/separated/married,none,1,building society saving agreement/life insurance,30,,own,1,skilled employee,1,none,Y,0
less than 116,24,all credits at this bank paid back,education,1837,less than 116,less than 7 years,4,female : divorced/separated/married,none,4,unkown/no property,34,none,for free,1,unskilled,1,none,Y,0
no checking account,36,existing credits paid back till now,furniture/equipment,3349,less than 116,less than 4 years,4,female : divorced/separated/married,none,2,car or other,28,,own,1,self_employed/highly qualified employee,1,yes,Y,0
greater than or equal to 116,10,existing credits paid back till now,furniture/equipment,1275,less than 116,less than 1 year,4,female : divorced/separated/married,none,2,building society saving agreement/life insurance,23,,own,1,skilled employee,1,none,Y,1
less than 0,24,all credits at this bank paid back,furniture/equipment,2828,less than 582,less than 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee,1,yes,Y,1
no checking account,24,critical account/ other credits existing,business,4526,less than 116,less than 4 years,3,male : single,none,2,real estate,74,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,36,existing credits paid back till now,radio/television,2671,less than 291,less than 4 years,4,female : divorced/separated/married,co-applicant,4,unkown/no property,50,,for free,1,skilled employee,1,none,Y,0
no checking account,18,existing credits paid back till now,radio/television,2051,less than 116,less than 1 year,4,male : single,none,1,real estate,33,,own,1,skilled employee,1,none,Y,1
no checking account,15,existing credits paid back till now,used car,1300,unkown/no savings account,greater than 7 years,4,male : single,none,4,unkown/no property,45,none,for free,1,skilled employee,2,none,Y,1
less than 0,12,existing credits paid back till now,domestic appliances,741,less than 291,unemployed,4,female : divorced/separated/married,none,3,building society saving agreement/life insurance,22,,own,1,skilled employee,1,none,Y,0
greater than or equal to 116,10,existing credits paid back till now,new car,1240,less than 291,greater than 7 years,1,female : divorced/separated/married,none,4,unkown/no property,48,,for free,1,unskilled,2,none,Y,0
less than 0,21,existing credits paid back till now,radio/television,3357,greater than 582,less than 1 year,4,female : divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee,1,none,Y,1
less than 0,24,all credits at this bank paid back,used car,3632,less than 116,less than 4 years,1,female : divorced/separated/married,guarantor,4,car or other,22,none,rent,1,skilled employee,1,none,N,1
no checking account,18,delay in paying off in the past,furniture/equipment,1808,less than 116,less than 7 years,4,female : divorced/separated/married,none,1,real estate,22,,own,1,skilled employee,1,none,Y,0
less than 116,48,no credits taken/all credit paid back,business,12204,unkown/no savings account,less than 4 years,2,male : single,none,2,car or other,48,none,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,60,delay in paying off in the past,radio/television,9157,unkown/no savings account,less than 4 years,2,male : single,none,2,unkown/no property,27,,for free,1,self_employed/highly qualified employee,1,none,Y,1
less than 0,6,critical account/ other credits existing,new car,3676,less than 116,less than 4 years,1,male : single,none,3,real estate,37,,rent,3,skilled employee,2,none,Y,1
less than 116,30,existing credits paid back till now,furniture/equipment,3441,less than 291,less than 4 years,2,female : divorced/separated/married,co-applicant,4,car or other,21,,rent,1,skilled employee,1,none,Y,0
no checking account,12,existing credits paid back till now,new car,640,less than 116,less than 4 years,4,male : divocred/separated,none,2,real estate,49,,own,1,unskilled,1,none,Y,1
less than 116,21,critical account/ other credits existing,business,3652,less than 116,less than 7 years,2,male : single,none,3,building society saving agreement/life insurance,27,,own,2,skilled employee,1,none,Y,1
no checking account,18,critical account/ other credits existing,new car,1530,less than 116,less than 4 years,3,male : single,none,2,building society saving agreement/life insurance,32,none,own,2,skilled employee,1,none,Y,0
no checking account,48,existing credits paid back till now,business,3914,unkown/no savings account,less than 4 years,4,male : divocred/separated,none,2,real estate,38,none,own,1,skilled employee,1,none,Y,0
less than 0,12,existing credits paid back till now,furniture/equipment,1858,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,car or other,22,,rent,1,skilled employee,1,none,Y,1
less than 0,18,existing credits paid back till now,radio/television,2600,less than 116,less than 4 years,4,male : single,none,4,unkown/no property,65,,for free,2,skilled employee,1,none,Y,0
no checking account,15,existing credits paid back till now,radio/television,1979,unkown/no savings account,greater than 7 years,4,male : single,none,2,car or other,35,,own,1,skilled employee,1,none,Y,1
greater than or equal to 116,6,existing credits paid back till now,furniture/equipment,2116,less than 116,less than 4 years,2,male : single,none,2,real estate,41,,own,1,skilled employee,1,yes,Y,1
less than 116,9,all credits at this bank paid back,new car,1437,less than 291,less than 7 years,2,male : single,none,3,unkown/no property,29,,own,1,skilled employee,1,none,Y,0
no checking account,42,critical account/ other credits existing,furniture/equipment,4042,less than 582,less than 4 years,4,male : single,none,4,real estate,36,,own,2,skilled employee,1,yes,Y,1
no checking account,9,existing credits paid back till now,education,3832,unkown/no savings account,greater than 7 years,1,male : single,none,4,real estate,64,,own,1,unskilled,1,none,Y,1
less than 0,24,existing credits paid back till now,radio/television,3660,less than 116,less than 4 years,2,female : divorced/separated/married,none,4,car or other,28,,own,1,skilled employee,1,none,Y,1
less than 0,18,all credits at this bank paid back,furniture/equipment,1553,less than 116,less than 4 years,4,male : single,none,3,car or other,44,none,own,1,skilled employee,1,none,Y,0
less than 116,15,existing credits paid back till now,radio/television,1444,unkown/no savings account,less than 1 year,4,male : single,none,1,building society saving agreement/life insurance,23,,own,1,skilled employee,1,none,Y,1
no checking account,9,existing credits paid back till now,furniture/equipment,1980,less than 116,less than 1 year,2,female : divorced/separated/married,co-applicant,2,car or other,19,,rent,2,skilled employee,1,none,Y,0
less than 116,24,existing credits paid back till now,new car,1355,less than 116,less than 1 year,3,female : divorced/separated/married,none,4,car or other,25,,own,1,unskilled,1,yes,Y,0
no checking account,12,existing credits paid back till now,education,1393,less than 116,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,47,none,own,3,skilled employee,2,yes,Y,1
no checking account,24,existing credits paid back till now,radio/television,1376,less than 582,less than 7 years,4,female : divorced/separated/married,none,1,car or other,28,,own,1,skilled employee,1,none,Y,1
no checking account,60,delay in paying off in the past,radio/television,15653,less than 116,less than 7 years,2,male : single,none,4,car or other,21,,own,2,skilled employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,radio/television,1493,less than 116,less than 1 year,4,female : divorced/separated/married,none,3,car or other,34,,own,1,skilled employee,2,none,Y,1
less than 0,42,delay in paying off in the past,radio/television,4370,less than 116,less than 7 years,3,male : single,none,2,building society saving agreement/life insurance,26,none,own,2,skilled employee,2,yes,Y,0
less than 0,18,existing credits paid back till now,education,750,less than 116,unemployed,4,female : divorced/separated/married,none,1,real estate,27,,own,1,unemployed,1,none,Y,0
less than 116,15,existing credits paid back till now,repairs,1308,less than 116,greater than 7 years,4,male : single,none,4,car or other,38,,own,2,unskilled,1,none,Y,1
no checking account,15,existing credits paid back till now,education,4623,less than 291,less than 4 years,3,male : single,none,2,building society saving agreement/life insurance,40,,own,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,24,critical account/ other credits existing,radio/television,1851,less than 116,less than 7 years,4,male : married/widowed,guarantor,2,car or other,33,,own,2,skilled employee,1,yes,Y,1
less than 0,18,critical account/ other credits existing,radio/television,1880,less than 116,less than 7 years,4,male : married/widowed,none,1,building society saving agreement/life insurance,32,,own,2,self_employed/highly qualified employee,1,yes,Y,1
no checking account,36,delay in paying off in the past,business,7980,unkown/no savings account,less than 1 year,4,male : single,none,4,car or other,27,,rent,2,skilled employee,1,yes,Y,0
less than 0,30,no credits taken/all credit paid back,furniture/equipment,4583,less than 116,less than 4 years,2,male : divocred/separated,guarantor,2,real estate,32,,own,2,skilled employee,1,none,Y,1
no checking account,12,existing credits paid back till now,new car,1386,less than 582,less than 4 years,2,female : divorced/separated/married,none,2,building society saving agreement/life insurance,26,,own,1,skilled employee,1,none,Y,0
greater than or equal to 116,24,existing credits paid back till now,new car,947,less than 116,less than 7 years,4,male : single,none,3,unkown/no property,38,none,for free,1,skilled employee,2,none,Y,0
less than 0,12,existing credits paid back till now,education,684,less than 116,less than 4 years,4,male : single,none,4,car or other,40,,rent,1,unskilled,2,none,Y,0
less than 0,48,existing credits paid back till now,education,7476,less than 116,less than 7 years,4,male : single,none,1,unkown/no property,50,,for free,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,12,existing credits paid back till now,furniture/equipment,1922,less than 116,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,37,,own,1,unskilled,1,none,Y,0
less than 0,24,existing credits paid back till now,new car,2303,less than 116,greater than 7 years,4,male : single,co-applicant,1,real estate,45,,own,1,skilled employee,1,none,Y,0
less than 116,36,delay in paying off in the past,new car,8086,less than 291,greater than 7 years,2,male : single,none,4,car or other,42,,own,4,self_employed/highly qualified employee,1,yes,Y,0
no checking account,24,critical account/ other credits existing,used car,2346,less than 116,less than 7 years,4,male : single,none,3,car or other,35,,own,2,skilled employee,1,yes,Y,1
less than 0,14,existing credits paid back till now,new car,3973,less than 116,unemployed,1,male : single,none,4,unkown/no property,22,,for free,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,new car,888,less than 116,greater than 7 years,4,male : single,none,4,car or other,41,none,own,1,unskilled,2,none,Y,0
no checking account,48,existing credits paid back till now,radio/television,10222,unkown/no savings account,less than 7 years,4,male : single,none,3,car or other,37,stores,own,1,skilled employee,1,yes,Y,1
less than 116,30,no credits taken/all credit paid back,business,4221,less than 116,less than 4 years,2,female : divorced/separated/married,none,1,car or other,28,,own,2,skilled employee,1,none,Y,1
less than 116,18,critical account/ other credits existing,furniture/equipment,6361,less than 116,greater than 7 years,2,male : single,none,1,unkown/no property,41,,own,1,skilled employee,1,yes,Y,1
greater than or equal to 116,12,existing credits paid back till now,radio/television,1297,less than 116,less than 4 years,3,male : married/widowed,none,4,real estate,23,,rent,1,skilled employee,1,none,Y,1
